"year","quadrant","attitude","field","movement","individuals","region","weight","axis_pa","axis_pu","axis_ie","lat","lon"
"200","AxU","I","Philosophy","Neoplatonism","Plotinus, Porphyry, Iamblichus, Proclus, Hypatia of Alexandria","Mediterranean","9","0.5","0.9","-0.8","41.9","12.5"
"200","PxU","E","Spirituality","Theurgy (Neoplatonic ritual magic)","Iamblichus, Julian the Theurgist","Mediterranean","5","-0.8","0.6","0.7","37.9","23.7"
"-100","AxU","I","Spirituality","Hermetism (Corpus Hermeticum)","Hermes Trismegistus (mythic)","Egypt/Mediterranean","8","0.3","0.8","-0.7","31.2","29.9"
"50","AxU","I","Spirituality","Gnosticism (Sethian)","Unknown, Valentinus","Mediterranean","7","0.5","0.8","-0.8","31.2","29.9"
"100","AxU","I","Spirituality","Valentinian Gnosticism","Valentinus, Ptolemy","Mediterranean","6","0.4","0.8","-0.8","41.9","12.5"
"100","PxU","E","Spirituality","Mandaeism","John the Baptist (symbolic)","Middle East","5","-0.8","0.5","0.7","33.3","44.4"
"200","PxU","I","Spirituality","Nag Hammadi / Coptic Gnosticism","Unknown scribes","Egypt","6","-0.7","0.6","-0.7","26.1","32.7"
"-1800","PxU","I","Spirituality","Proto-Judaism (Patriarchal)","Abraham (mythic)","Middle East","8","-0.8","0.6","-0.7","31.8","35.2"
"-1200","PxU","E","Spirituality","Mosaic Judaism & Torah Tradition","Moses (mythic)","Middle East","9","-0.7","0.5","0.8","31.8","35.2"
"-800","PxU","I","Spirituality","Hebrew Prophetic Tradition","Isaiah, Jeremiah, Ezekiel, Amos","Middle East","8","-0.8","0.6","-0.7","31.8","35.2"
"-400","AxP","E","Spirituality","Rabbinic Judaism (Talmudic)","Hillel, Shammai, Rabbi Akiva, Maimonides","Middle East","8","0.6","-0.4","0.8","31.8","35.2"
"-200","AxU","I","Spirituality","Jewish Apocalypticism / Dead Sea Scrolls","Unknown Essenes","Middle East","6","0.4","0.8","-0.8","31.7","35.5"
"-100","AxU","I","Spirituality","Kabbalah (proto-Merkabah mysticism)","Unknown","Middle East","7","0.3","0.8","-0.8","31.8","35.2"
"30","PxU","E","Spirituality","Early Christianity","Jesus, Paul, Mary Magdalene, Peter","Middle East","10","-0.8","0.6","0.7","31.8","35.2"
"100","AxU","I","Spirituality","Patristic Theology","Origen, Clement of Alexandria, Tertullian","Mediterranean","7","0.5","0.8","-0.7","36.9","28.0"
"300","AxU","I","Philosophy","Christian Neoplatonism","Augustine, Pseudo-Dionysius","Mediterranean","8","0.5","0.8","-0.7","41.9","12.5"
"500","PxU","I","Spirituality","Christian Mysticism (Desert Fathers)","Anthony of Egypt, Evagrius, John Cassian","Middle East","7","-0.8","0.6","-0.8","27.0","31.0"
"600","PxU","E","Spirituality","Islam (Early)","Muhammad, Khadijah, Ali, Aisha","Middle East","10","-0.8","0.6","0.8","21.4","39.8"
"700","AxU","E","Philosophy","Islamic Theology (Kalam)","Al-Ash'ari, Mu'tazilites","Middle East","7","0.5","0.8","0.7","33.5","36.3"
"700","PxU","E","Art","Islamic Architecture & Geometric Art","Unknown architects","Middle East","8","-0.7","0.5","0.8","33.5","36.3"
"800","AxP","E","Philosophy","Islamic Philosophy (Falsafa)","Al-Kindi, Al-Farabi, Ibn Sina (Avicenna)","Middle East","8","0.7","-0.2","0.8","33.5","44.4"
"800","AxP","E","Science","Islamic Golden Age Science","Al-Khwarizmi, Ibn al-Haytham, Al-Biruni, Al-Razi","Middle East","9","0.7","-0.4","0.9","33.5","44.4"
"800","PxU","I","Spirituality","Sufism (Early introverted — Rabia, Hallaj)","Rabia al-Adawiyya, Al-Hallaj","Middle East","8","-0.8","0.7","-0.9","33.3","44.4"
"900","PxU","E","Art","Arabic Calligraphy (sacred art tradition)","Ibn Muqla, Ibn al-Bawwab","Middle East","7","-0.7","0.5","0.8","33.5","36.3"
"1000","PxP","E","Art","Persian Classical Poetry","Ferdowsi, Omar Khayyam, Hafez, Sa'di, Rumi","Persia","9","-0.7","-0.2","0.8","35.7","51.4"
"1100","PxU","E","Spirituality","Sufism (Classical communal — sama, dhikr)","Rumi, Ibn Arabi, Al-Ghazali, Suhrawardi","Middle East","9","-0.9","0.7","0.8","37.9","32.4"
"1100","AxU","I","Spirituality","Kabbalah (Classical, Zohar)","Moses de León, Isaac the Blind, Nachmanides","Mediterranean","7","0.4","0.8","-0.8","37.9","23.7"
"1100","PxP","E","Art","Islamic Miniature Painting (Persian/Mughal)","Kamal ud-Din Behzad, Abu'l Hasan","Persia/South Asia","7","-0.7","-0.2","0.8","35.7","51.4"
"1200","AxP","E","Science","Islamic Medicine (Ibn Rushd, Ibn al-Nafis)","Ibn Rushd (Averroes), Ibn al-Nafis","Middle East","7","0.7","-0.5","0.8","36.7","-4.4"
"1200","AxU","E","Philosophy","Scholasticism","Thomas Aquinas, Duns Scotus, William of Ockham","Europe","8","0.6","0.7","0.8","48.9","2.3"
"1332","AxP","E","Philosophy","Ibn Khaldun — Social Science & Historiography","Ibn Khaldun","North Africa","8","0.7","-0.5","0.8","36.8","3.1"
"1400","PxU","I","Spirituality","Christian Mysticism (Rhineland/Devotio Moderna)","Meister Eckhart, Hildegard of Bingen, Julian of Norwich, Mechthild of Magdeburg, Marguerite Porete, Thomas à Kempis","Europe","8","-0.8","0.7","-0.8","51.5","7.5"
"1400","AxU","I","Philosophy","Islamic Mystical Philosophy (Ishraq / Illuminationism)","Suhrawardi, Mulla Sadra","Persia","6","0.4","0.8","-0.8","35.7","51.4"
"1500","AxU","I","Spirituality","Lurianic Kabbalah","Isaac Luria, Chaim Vital","Middle East","6","0.4","0.8","-0.8","32.7","35.5"
"1517","AxP","E","Spirituality","Protestant Reformation","Martin Luther, Calvin, Zwingli, Melanchthon","Europe","9","0.5","-0.3","0.9","51.8","12.0"
"1521","PxU","I","Spirituality","Ignatian Spirituality / Jesuit Contemplation","Ignatius of Loyola, Francis Xavier","Europe","6","-0.7","0.5","-0.7","40.4","-3.7"
"1600","PxU","I","Spirituality","Hasidism","Ba'al Shem Tov, Nachman of Breslov, Schneur Zalman","Europe","6","-0.8","0.6","-0.7","51.1","17.0"
"-200","PxP","E","Spirituality","Hellenistic Alchemy (proto-chemistry)","Zosimos of Panopolis, Mary the Jewess","Egypt","6","-0.6","-0.4","0.7","31.2","29.9"
"800","PxP","E","Science","Islamic Alchemy (Jabir)","Jabir ibn Hayyan (Geber), Al-Razi","Middle East","7","-0.5","-0.5","0.8","33.5","44.4"
"1200","PxP","E","Spirituality","European Medieval Alchemy","Albertus Magnus, Roger Bacon","Europe","6","-0.6","-0.3","0.7","48.9","2.3"
"1400","PxU","I","Spirituality","Spiritual Alchemy (soul transformation)","Ramon Llull, George Ripley","Europe","6","-0.7","0.6","-0.7","48.9","2.3"
"1500","PxP","E","Science","Paracelsian Alchemy & Iatrochemistry","Paracelsus, Oswald Croll","Europe","7","-0.6","-0.4","0.8","47.6","7.6"
"1575","AxU","I","Spirituality","Hermetic-Alchemical Philosophy (Böhme, Fludd)","Jakob Böhme, Robert Fludd, Thomas Vaughan, John Dee","Europe","6","0.3","0.7","-0.8","51.8","12.0"
"1650","AxP","E","Science","Proto-Chemistry from Alchemy (Boyle)","Robert Boyle, van Helmont","Europe","7","0.6","-0.6","0.8","51.5","-0.1"
"1300","PxP","E","Art","Italian Renaissance Art","Giotto, Botticelli, Leonardo da Vinci, Michelangelo, Raphael","Europe","9","-0.6","-0.3","0.8","43.8","11.2"
"1400","AxU","E","Philosophy","Renaissance Humanism","Petrarch, Erasmus, More, Pico della Mirandola, Christine de Pizan","Europe","8","0.4","0.6","0.8","43.8","11.2"
"1450","AxU","I","Philosophy","Florentine Neoplatonism","Marsilio Ficino, Lorenzo de' Medici","Europe","7","0.5","0.8","-0.8","43.8","11.2"
"1473","AxU","I","Philosophy","Giordano Bruno — Infinite Universe & Hermetic Cosmology","Giordano Bruno","Europe","7","0.3","0.8","-0.7","40.9","14.5"
"1500","AxU","I","Spirituality","Christian Kabbalah","Pico della Mirandola, Reuchlin","Europe","5","0.4","0.7","-0.8","43.8","11.2"
"1510","AxU","I","Spirituality","Hermetic Renaissance (Corpus Hermeticum transmission)","Ficino, Agrippa","Europe","6","0.4","0.7","-0.7","43.8","11.2"
"1540","AxU","I","Spirituality","Rosicrucianism (Manifestos)","Christian Rosenkreuz (mythic), Johann Valentin Andreae, Michael Maier","Europe","6","0.3","0.7","-0.7","48.1","7.7"
"1543","AxU","E","Science","Copernican Revolution","Copernicus, Kepler, Galileo","Europe","10","0.5","0.7","0.8","51.1","17.0"
"1550","PxU","I","Art","Mannerism","Pontormo, El Greco, Bronzino","Europe","5","-0.7","0.5","-0.7","43.8","11.2"
"1600","AxP","E","Science","Scientific Revolution","Francis Bacon, Descartes, Newton, Boyle","Europe","10","0.7","-0.4","0.9","51.5","-0.1"
"1620","AxU","I","Spirituality","Emanuel Swedenborg — Visionary Theology","Emanuel Swedenborg","Europe","6","0.2","0.8","-0.8","59.3","18.1"
"1640","AxP","I","Philosophy","Rationalism (Continental)","Descartes, Spinoza, Leibniz","Europe","9","0.8","-0.2","-0.7","52.4","4.9"
"1650","PxP","E","Spirituality","Quaker Movement & Inner Light Mysticism","George Fox, William Penn","Europe","6","-0.7","0.3","0.7","51.5","-0.1"
"1660","AxP","E","Philosophy","Empiricism (British)","Locke, Hume, Berkeley","Europe","9","0.7","-0.4","0.8","51.5","-0.1"
"1700","AxU","E","Spirituality","Freemasonry (Speculative)","Elias Ashmole, James Anderson","Europe","6","0.3","0.6","0.8","51.5","-0.1"
"1700","PxP","E","Art","Baroque & Rococo Art","Rembrandt, Rubens, Vermeer, Watteau","Europe","7","-0.6","-0.4","0.8","48.9","2.3"
"1750","PxP","E","Science","Franz Anton Mesmer — Mesmerism & Animal Magnetism","Franz Anton Mesmer","Europe","5","-0.6","-0.5","0.8","48.2","16.4"
"-550","AxU","I","Science","Pythagorean Music Theory (Harmony of the Spheres)","Pythagoras, Archytas","Mediterranean","7","0.5","0.8","-0.7","39.1","17.1"
"600","PxU","I","Art","Gregorian Chant & Sacred Music (West)","Pope Gregory I (mythic), Guido d'Arezzo","Europe","8","-0.8","0.6","-0.7","41.9","12.5"
"800","PxU","E","Art","Indian Classical Music (Raga System)","Bharata Muni, Tansen, Tyagaraja","South Asia","9","-0.7","-0.2","0.7","28.6","77.2"
"1600","AxU","I","Art","Western Classical Music Theory (Bach, counterpoint)","J.S. Bach, Fux, Rameau","Europe","9","0.4","0.7","-0.8","51.8","12.0"
"1750","PxP","E","Art","Classical & Romantic Music (Viennese School)","Mozart, Beethoven, Haydn, Schubert","Europe","9","-0.7","-0.3","0.8","48.2","16.4"
"1850","PxU","I","Art","Romantic Orchestral Music & Gesamtkunstwerk","Wagner, Liszt, Mahler, Brahms","Europe","8","-0.8","0.5","-0.6","48.2","16.4"
"1900","AxU","I","Art","Modernist Music (Twelve-Tone, Serialism)","Schoenberg, Berg, Webern","Europe","7","0.4","0.7","-0.7","48.2","16.4"
"1920","PxP","E","Art","Jazz & Blues Tradition","Louis Armstrong, Billie Holiday, Miles Davis, John Coltrane, Nina Simone","North America","9","-0.7","-0.5","0.8","29.9","-90.0"
"1960","PxP","E","Art","Rock, Pop & Counterculture Music","The Beatles, Bob Dylan, Jimi Hendrix","Global","8","-0.8","-0.5","0.9","40.7","-74.0"
"1970","PxP","E","Art","West African & Afrobeat Tradition","Fela Kuti, Youssou N'Dour","Africa","7","-0.8","-0.3","0.9","6.5","3.4"
"-300","AxP","E","Science","Vitruvian Architecture (De Architectura)","Vitruvius","Mediterranean","7","0.5","-0.4","0.8","41.9","12.5"
"1100","PxU","E","Art","Gothic Cathedral Architecture (sacred geometry)","Unknown master builders, Abbot Suger","Europe","8","-0.6","0.6","0.8","48.9","2.3"
"1490","AxU","I","Art","Renaissance Architecture & Sacred Proportion","Brunelleschi, Alberti, Palladio","Europe","7","0.4","0.7","-0.7","43.8","11.2"
"1919","AxP","E","Art","Bauhaus & Functionalist Architecture","Walter Gropius, Mies van der Rohe, Le Corbusier","Europe","8","0.7","-0.5","0.9","51.3","12.4"
"1960","AxU","E","Art","Deconstructivist Architecture","Frank Gehry, Zaha Hadid, Rem Koolhaas","Global","6","0.4","0.6","0.8","40.7","-74.0"
"-500","PxP","I","Science","Chinese Internal Martial Arts (Neijia — Tai Chi, Xingyi, Bagua)","Zhang Sanfeng (mythic), Sun Lutang","East Asia","7","-0.5","-0.6","-0.8","32.0","119.0"
"1200","PxP","I/E","Science","Japanese Budo (Kendo, Judo, Jujutsu)","Various ryu founders, Jigoro Kano","East Asia","7","-0.5","-0.5","0.0","35.7","139.7"
"1883","PxU","I/E","Spirituality","Aikido — Martial Art as Spiritual Practice","Morihei Ueshiba","East Asia","6","-0.7","0.3","0.0","34.7","135.5"
"1100","PxP","E","Art","Medieval European Guild Craft Traditions","Unknown masters","Europe","7","-0.6","-0.7","0.8","48.9","2.3"
"1900","PxP","E","Art","Arts & Crafts Movement","William Morris, John Ruskin","Europe","7","-0.7","-0.6","0.8","51.5","-0.1"
"1920","PxP","E","Art","Mingei (Japanese Folk Craft Philosophy)","Soetsu Yanagi, Shoji Hamada, Bernard Leach","East Asia","6","-0.7","-0.6","0.8","35.7","139.7"
"1890","PxP","E","Science","Psychoanalysis (Freud)","Sigmund Freud","Europe","9","-0.6","-0.4","0.7","48.2","16.4"
"1902","PxP","E","Science","Individual Psychology (Adler)","Alfred Adler","Europe","6","-0.6","-0.4","0.7","48.2","16.4"
"1910","PxP","I","Science","Object Relations & Attachment Theory","Melanie Klein, Winnicott, Bowlby","Europe","7","-0.6","-0.4","-0.7","51.5","-0.1"
"1920","PxU","I","Science","Jungian Depth Psychology","C.G. Jung, Marie-Louise von Franz, James Hillman","Europe","9","-0.7","0.6","-0.8","47.4","8.6"
"1930","AxU","I","Science","Lacanian Psychoanalysis","Jacques Lacan","Europe","7","0.5","0.7","-0.8","48.9","2.3"
"1940","PxP","I","Science","Humanistic Psychology (Maslow, Rogers)","Abraham Maslow, Carl Rogers","North America","7","-0.7","-0.3","-0.7","38.9","-77.0"
"1940","PxP","E","Science","Gestalt Therapy","Fritz Perls, Laura Perls","Europe/N.America","6","-0.7","-0.4","0.7","40.7","-74.0"
"1950","PxP","E","Science","Reich & Somatic Body Work (Orgonomy, Bioenergetics)","Wilhelm Reich, Alexander Lowen","Europe/N.America","6","-0.8","-0.5","0.7","40.7","-74.0"
"1960","PxP","I","Science","Transpersonal Psychology","Stanislav Grof, Abraham Maslow","North America","6","-0.7","-0.2","-0.7","37.3","-122.0"
"1687","AxP","E","Science","Newtonian Physics & Classical Mechanics","Newton, Leibniz","Europe","10","0.8","-0.4","0.9","51.5","-0.1"
"1720","AxP","E","Philosophy","The Enlightenment","Voltaire, Diderot, D'Alembert, Montesquieu","Europe","10","0.7","-0.3","0.9","48.9","2.3"
"1750","PxP","I/E","Art","Romanticism (literary & artistic)","Goethe, Wordsworth, Coleridge, Schiller, Keats","Europe","9","-0.7","-0.2","0.0","51.5","-0.1"
"1755","AxP","E","Philosophy","Scottish Enlightenment","Adam Smith, David Hume, Francis Hutcheson","Europe","7","0.7","-0.4","0.8","55.9","-3.2"
"1762","PxU","I","Philosophy","Rousseau — Nature, Education & Social Contract","Jean-Jacques Rousseau","Europe","8","-0.6","0.4","-0.7","46.2","6.1"
"1770","AxU","I","Philosophy","Kantian Critical Philosophy","Immanuel Kant","Europe","10","0.6","0.8","-0.8","54.7","20.5"
"1800","AxU","I","Philosophy","German Idealism (Fichte, Schelling, Hegel)","Fichte, Schelling, Hegel","Europe","9","0.5","0.8","-0.7","52.5","13.4"
"1800","AxU","I","Spirituality","Naturphilosophie","Schelling, Goethe, Lorenz Oken","Europe","6","0.3","0.7","-0.7","52.5","13.4"
"1813","AxP","E","Philosophy","Machiavelli to Hobbes — Political Realism","Machiavelli, Hobbes, Locke, Burke","Europe","8","0.7","-0.5","0.8","43.8","11.2"
"1820","PxU","I","Art","Romantic Painting (landscape mysticism)","Caspar David Friedrich, Turner, Delacroix","Europe","7","-0.8","0.5","-0.7","52.5","13.4"
"1820","PxU","I","Art","William Blake — Visionary Art & Mythology","William Blake","Europe","7","-0.8","0.6","-0.8","51.5","-0.1"
"1830","AxU","E","Philosophy","Hegelianism & Dialectical Idealism","Hegel, Young Hegelians, Feuerbach","Europe","8","0.5","0.8","0.7","52.5","13.4"
"1830","AxP","E","Philosophy","Positivism (Comte)","Auguste Comte, John Stuart Mill","Europe","7","0.8","-0.4","0.9","48.9","2.3"
"1835","PxU","I","Philosophy","Kierkegaard — Existential Faith & Subjectivity","Søren Kierkegaard","Europe","8","-0.6","0.4","-0.8","55.7","12.6"
"1840","AxP","E","Philosophy","Marxism & Historical Materialism","Marx, Engels, Lenin, Rosa Luxemburg, Gramsci","Europe","9","0.7","-0.5","0.9","51.5","-0.1"
"1840","PxP","E","Art","Realism (Art & Literature)","Courbet, Balzac, Flaubert, Tolstoy","Europe","7","-0.6","-0.6","0.8","48.9","2.3"
"1845","AxP","E","Science","Darwinism & Evolutionary Biology","Darwin, Wallace, Huxley","Europe","10","0.7","-0.4","0.8","51.5","-0.1"
"1850","PxU","I","Art","Symbolism (Art & Poetry)","Baudelaire, Mallarmé, Moreau, Redon","Europe","7","-0.8","0.5","-0.7","48.9","2.3"
"1860","PxP","E","Art","Impressionism","Monet, Manet, Renoir, Degas, Pissarro","Europe","8","-0.7","-0.5","0.8","48.9","2.3"
"1860","AxP","E","Philosophy","Utilitarianism","Bentham, J.S. Mill, Harriet Taylor Mill","Europe","7","0.7","-0.5","0.9","51.5","-0.1"
"1870","AxU","I","Philosophy","Neo-Kantianism","Cohen, Rickert, Windelband","Europe","5","0.6","0.7","-0.7","52.5","13.4"
"1875","AxU","I","Spirituality","Theosophy","H.P. Blavatsky, Henry Olcott, Annie Besant","Europe/Global","7","0.3","0.7","-0.7","51.5","-0.1"
"1880","PxU","I","Philosophy","Nietzschean Philosophy","Friedrich Nietzsche","Europe","9","-0.6","0.5","-0.8","47.4","8.6"
"1880","AxP","E","Science","Classical Thermodynamics & Statistical Mechanics","Boltzmann, Clausius, Maxwell","Europe","8","0.8","-0.4","0.8","52.5","13.4"
"1885","AxP","E","Science","Germ Theory & Microbiology","Pasteur, Koch, Lister","Europe","9","0.7","-0.6","0.8","48.9","2.3"
"1890","PxP","E","Art","Post-Impressionism","Cézanne, Van Gogh, Gauguin, Seurat","Europe","8","-0.7","-0.4","0.8","48.9","2.3"
"1890","AxP","E","Philosophy","Pragmatism","William James, Peirce, Dewey","North America","8","0.6","-0.4","0.8","40.7","-74.0"
"1895","PxU","I","Spirituality","Anthroposophy (Rudolf Steiner)","Rudolf Steiner","Europe","7","-0.6","0.6","-0.7","47.4","8.6"
"1895","AxP","E","Science","Classical Psychology & Psychophysics","Wundt, Helmholtz, Fechner","Europe","7","0.6","-0.5","0.8","52.5","13.4"
"1900","PxU","I","Spirituality","Hermeticism (Modern Revival, Golden Dawn)","Mathers, Westcott, Aleister Crowley","Europe","6","-0.7","0.5","-0.7","51.5","-0.1"
"1900","AxU","I","Philosophy","Phenomenology (Husserl)","Husserl, Heidegger, Edith Stein, Jean-Paul Sartre, Merleau-Ponty","Europe","9","0.5","0.7","-0.8","47.4","8.6"
"1900","AxP","E","Science","Quantum Mechanics (early)","Planck, Bohr, Heisenberg, Schrödinger, Dirac","Europe","10","0.7","-0.2","0.8","52.5","13.4"
"1900","AxP","I","Philosophy","Analytic Philosophy (early, Frege to Russell)","Frege, Russell, Moore, Wittgenstein","Europe","9","0.8","-0.3","-0.7","51.5","-0.1"
"1900","PxU","E","Art","Expressionism","Munch, Kirchner, Nolde, Kokoschka","Europe","7","-0.8","0.4","0.7","52.5","13.4"
"1905","AxU","I","Science","Relativity Theory (Einstein)","Albert Einstein","Europe","10","0.6","0.6","-0.7","52.5","13.4"
"1905","PxP","E","Art","Fauvism","Matisse, Derain","Europe","6","-0.8","-0.4","0.8","48.9","2.3"
"1907","AxU","I","Philosophy","Bergsonism (Duration, Life & Memory)","Henri Bergson","Europe","7","0.4","0.7","-0.7","48.9","2.3"
"1910","AxU","E","Art","Cubism","Picasso, Braque, Léger","Europe","8","0.4","0.5","0.8","48.9","2.3"
"1910","PxU","I","Art","Abstract Art (Kandinsky, spiritual dimension)","Kandinsky, Franz Marc, Paul Klee","Europe","8","-0.7","0.5","-0.7","48.2","11.6"
"1913","PxU","I/E","Spirituality","Gurdjieff's Fourth Way","G.I. Gurdjieff, Ouspensky, Jeanne de Salzmann","Europe/Middle East","6","-0.7","0.3","0.0","48.4","2.7"
"1915","AxP","E","Science","Behaviorism","Watson, Skinner, Pavlov","North America","7","0.7","-0.6","0.9","40.7","-74.0"
"1916","AxP","E","Philosophy","Structural Linguistics (Saussure)","Ferdinand de Saussure","Europe","8","0.7","-0.4","0.8","46.2","6.1"
"1916","PxP","E","Art","Dada","Hugo Ball, Tristan Tzara, Marcel Duchamp","Europe","7","-0.7","-0.5","0.8","46.2","6.1"
"1919","AxP","E","Art","Bauhaus & Functionalist Design","Walter Gropius, Paul Klee, Moholy-Nagy","Europe","8","0.7","-0.5","0.9","51.3","12.4"
"1921","PxU","I","Art","Surrealism","Breton, Dalí, Ernst, Magritte, Kahlo","Europe","8","-0.8","0.4","-0.7","48.9","2.3"
"1923","AxU","E","Philosophy","Frankfurt School / Critical Theory","Horkheimer, Adorno, Benjamin, Marcuse, Habermas, Seyla Benhabib","Europe","8","0.5","0.7","0.7","50.1","8.7"
"1927","AxU","I","Philosophy","Existentialism","Heidegger, Sartre, Camus, Simone de Beauvoir, Merleau-Ponty, Kierkegaard","Europe","9","0.3","0.6","-0.7","48.9","2.3"
"1930","PxP","E","Art","Abstract Expressionism (New York School)","Pollock, de Kooning, Rothko, Kline","North America","8","-0.7","-0.2","0.8","40.7","-74.0"
"1935","AxP","E","Science","Logical Positivism / Vienna Circle","Carnap, Schlick, Neurath","Europe","7","0.9","-0.4","0.9","48.2","16.4"
"1940","AxP","E","Science","Cybernetics (first order)","Norbert Wiener, von Neumann, Shannon","North America","8","0.7","-0.4","0.9","40.7","-74.0"
"1942","PxP","E","Spirituality","Wicca / Modern Paganism","Gerald Gardner, Doreen Valiente","Europe","6","-0.8","0.1","0.7","51.5","-0.1"
"1943","AxP","E","Philosophy","Ordinary Language Philosophy","Wittgenstein (late), Austin, Ryle, Strawson","Europe","6","0.7","-0.4","0.8","51.5","-0.1"
"1945","AxU","E","Philosophy","Structuralism","Saussure, Lévi-Strauss, Jakobson, Roland Barthes, Julia Kristeva","Europe","8","0.6","0.7","0.8","48.9","2.3"
"1950","PxP","I/E","Spirituality","Beat Spirituality / Zen in the West","Kerouac, Ginsberg, Alan Watts","North America","7","-0.7","-0.1","0.0","37.8","-122.4"
"1955","AxP","E","Science","Cognitive Science (early)","Miller, Chomsky, Minsky, Simon","North America","8","0.7","-0.4","0.8","40.7","-74.0"
"1960","PxU","I/E","Spirituality","Psychedelic Movement / Transpersonal Psychology","Timothy Leary, Aldous Huxley, Stanislav Grof","North America","7","-0.8","0.2","0.0","37.8","-122.4"
"1960","AxU","I","Philosophy","Hermeneutics (Gadamer, Ricoeur)","Hans-Georg Gadamer, Paul Ricoeur, Dilthey","Europe","7","0.5","0.7","-0.7","48.1","11.6"
"1962","AxU","I","Philosophy","Post-Structuralism / Deconstruction","Derrida, Foucault, Deleuze, Irigaray, Kristeva, Cixous","Europe","8","0.4","0.7","-0.7","48.9","2.3"
"1962","AxP","E","Science","Philosophy of Science (Kuhn, Popper, Lakatos)","Kuhn, Popper, Lakatos, Feyerabend","Europe/N.America","8","0.7","-0.3","0.8","48.9","2.3"
"1965","PxU","I/E","Spirituality","New Age Movement","Various, David Spangler, Marilyn Ferguson","Global","6","-0.7","0.3","0.0","37.8","-122.4"
"1968","PxP","E","Art","Conceptual Art & Fluxus","Sol LeWitt, Yoko Ono, Joseph Beuys","North America","7","-0.6","-0.4","0.8","40.7","-74.0"
"1970","AxU","E","Science","Second-Order Cybernetics & Systems Theory","Bateson, von Foerster, Maturana, Varela","Global","8","0.5","0.6","0.7","40.7","-74.0"
"1970","AxP","E","Science","Sociobiology / Evolutionary Psychology","Wilson, Dawkins, Trivers","North America","7","0.7","-0.5","0.8","40.7","-74.0"
"1970","PxP","E","Art","Performance Art & Body Art","Marina Abramović, Chris Burden, Carolee Schneemann","Global","6","-0.7","-0.3","0.8","40.7","-74.0"
"1972","AxU","E","Science","Complexity Science & Chaos Theory","Prigogine, Mandelbrot, Lorenz","Global","8","0.5","0.6","0.8","48.9","2.3"
"1975","AxU","I","Philosophy","Enactivism & Embodied Cognition","Maturana, Varela, Thompson, Evan Thompson","Global","7","0.4","0.6","-0.7","37.8","-122.4"
"1975","AxU","I","Spirituality","Integral Philosophy (Ken Wilber)","Ken Wilber","North America","7","0.4","0.7","-0.7","39.7","-105.0"
"1975","PxU","E","Spirituality","Feminist Spirituality / Goddess Revival","Starhawk, Carol P. Christ, Merlin Stone","North America","6","-0.8","0.5","0.7","37.8","-122.4"
"1975","AxU","I","Philosophy","Participatory Epistemology (Ferrer, Tarnas)","Jorge Ferrer, Richard Tarnas","North America","6","0.3","0.6","-0.6","37.8","-122.4"
"1980","AxP","I","Philosophy","Analytic Philosophy of Mind","Dennett, Chalmers, Searle, Nagel","North America","7","0.8","-0.2","-0.7","40.7","-74.0"
"1980","PxP","E","Art","Postmodern Art","Jeff Koons, Cindy Sherman, Basquiat","North America","6","-0.5","-0.4","0.8","40.7","-74.0"
"1985","AxP","E","Science","Evolutionary Biology (evo-devo, extended synthesis)","Gould, Lewontin, Jablonka","Global","7","0.7","-0.4","0.8","51.5","-0.1"
"1990","AxP","E","Science","Neuroscience & Consciousness Studies","Crick, Koch, Damasio, Edelman","Global","8","0.7","-0.4","0.8","40.7","-74.0"
"1990","PxU","E","Philosophy","Ecofeminism & Deep Ecology","Arne Naess, Val Plumwood, Vandana Shiva","Global","6","-0.8","0.4","0.7","59.9","10.7"
"1990","AxU","E","Philosophy","Actor-Network Theory / Latour","Bruno Latour, Michel Callon","Europe","7","0.5","0.5","0.8","48.9","2.3"
"1990","AxP","E","Science","Economics — Austrian School & Institutionalism","Hayek, Mises, Veblen, Keynes","Global","7","0.7","-0.5","0.8","48.2","16.4"
"1990","AxU","I","Philosophy","Cognitive Linguistics (Lakoff, Johnson)","George Lakoff, Mark Johnson","North America","6","0.5","0.6","-0.7","37.8","-122.4"
"1995","AxP","E","Science","Cognitive Neuroscience","Antonio Damasio, Joseph LeDoux, Francis Crick, Wolf Singer, Patricia Churchland","Global","7","0.7","-0.4","0.9","40.7","-74.0"
"2000","AxU","I","Philosophy","Speculative Realism & Object-Oriented Ontology","Meillassoux, Harman, Morton","Global","6","0.4","0.6","-0.7","51.5","-0.1"
"2000","AxU","E","Philosophy","New Materialism & Feminist Philosophy of Science","Karen Barad, Donna Haraway, Stacy Alaimo","Global","6","0.4","0.6","0.7","40.7","-74.0"
"2010","AxP","E","Science","Machine Learning & AI (Deep Learning)","Hinton, LeCun, Bengio, Sutskever","Global","9","0.8","-0.5","0.9","37.8","-122.4"
"2010","PxP","I","Spirituality","Mindfulness & Secular Contemplative Science","Jon Kabat-Zinn, Thich Nhat Hanh, Richard Davidson","Global","7","-0.6","-0.2","-0.7","40.7","-74.0"
"-2500","PxU","E","Spirituality","Ancient Egyptian Theurgy & Ritual Magic","Unknown priests","Africa","7","-0.9","0.6","0.8","26.8","30.8"
"400","AxU","I","Philosophy","Ethiopian Orthodox Theology (Tewahedo)","Frumentius, Yared","Africa","6","0.5","0.7","-0.7","9.1","40.5"
"800","AxU","E","Philosophy","African Islamic Philosophy (West & East Africa)","Ahmad Baba al-Massufi","Africa","6","0.5","0.6","0.7","12.4","-1.7"
